country	zipcode	place	city_state	city_state_code	province	province_code	city	city_code	latitude	longitude	accuaracy
CO	910001	Leticia	Amazonas	1	Leticia	91001			-42.153	-699.406	4
CO	910007	Leticia	Amazonas	1	Leticia	91001			-42.153	-699.406	4
CO	910008	Leticia	Amazonas	1	Leticia	91001			-42.153	-699.406	4
CO	913010	El Encanto	Amazonas	1	El Encanto	91263			-17.477	-732.083	4
CO	913017	El Encanto	Amazonas	1	El Encanto	91263			-17.477	-732.083	4
CO	913018	El Encanto	Amazonas	1	El Encanto	91263			-17.477	-732.083	4
CO	913019	El Encanto	Amazonas	1	El Encanto	91263			-17.477	-732.083	4
CO	914050	La Chorrera	Amazonas	1	La Chorrera	91405			-0.7333	-730.167	4
CO	914057	La Chorrera	Amazonas	1	La Chorrera	91405			-0.7333	-730.167	4
CO	917010	La Pedrera	Amazonas	1	La Pedrera	91407			-13.239	-695.744	4
CO	917017	La Pedrera	Amazonas	1	La Pedrera	91407			-13.239	-695.744	4
CO	917018	La Pedrera	Amazonas	1	La Pedrera	91407			-13.239	-695.744	4
CO	916017	La Victoria	Amazonas	1	La Victoria	91430			0.0551	-71.222	4
CO	916057	Miriti - Parana	Amazonas	1	Miriti - Paraná	91460			-0.6853	-711.859	1
CO	916058	Miriti - Parana	Amazonas	1	Miriti - Paraná	91460			-0.6853	-711.859	1
CO	913050	Puerto Alegria	Amazonas	1	Puerto Alegría	91530			-10.333	-740.333	4
CO	913057	Puerto Alegria	Amazonas	1	Puerto Alegría	91530			-10.333	-740.333	4
CO	912010	Puerto Arica	Amazonas	1	Puerto Arica	91536			-21.485	-717.548	4
CO	912017	Puerto Arica	Amazonas	1	Puerto Arica	91536			-21.485	-717.548	4
CO	912018	Puerto Arica	Amazonas	1	Puerto Arica	91536			-21.485	-717.548	4
CO	912019	Puerto Arica	Amazonas	1	Puerto Arica	91536			-21.485	-717.548	4
CO	911010	Puerto Nariño	Amazonas	1	Puerto Nariño	91540			-37.889	-703.558	4
CO	911017	Puerto Nariño	Amazonas	1	Puerto Nariño	91540			-37.889	-703.558	4
CO	911018	Puerto Nariño	Amazonas	1	Puerto Nariño	91540			-37.889	-703.558	4
CO	915010	Puerto Santander	Amazonas	1	Puerto Santander	91669			-0.6217	-72.384	4
CO	915017	Puerto Santander	Amazonas	1	Puerto Santander	91669			-0.6217	-72.384	4
CO	915018	Puerto Santander	Amazonas	1	Puerto Santander	91669			-0.6217	-72.384	4
CO	915019	Puerto Santander	Amazonas	1	Puerto Santander	91669			-0.6217	-72.384	4
CO	911030	Tarapaca	Amazonas	1	Tarapacá	91798			-28.786	-697.442	4
CO	911037	Tarapaca	Amazonas	1	Tarapacá	91798			-28.786	-697.442	4
CO	911038	Tarapaca	Amazonas	1	Tarapacá	91798			-28.786	-697.442	4
CO	911039	Tarapaca	Amazonas	1	Tarapacá	91798			-28.786	-697.442	4
CO	50001	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50002	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50003	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50004	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50005	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50006	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50007	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50010	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50011	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50012	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50013	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50014	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50015	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50016	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50017	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50018	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50020	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50021	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50022	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50023	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50024	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50025	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50026	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50027	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50028	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
CO	50029	Medellin	Antioquia	2	Medellín	5001			62.518	-755.636	4
